epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.5147,1.41854,0.71278,0.9965,0.76742,0.000329365,0.000329365,0.000329365
2,57.7561,0.76318,0.7986,0.9965,0.52688,0.000662626,0.000662626,0.000662626
3,85.4374,0.70534,0.75482,0.99825,0.66615,0.000995595,0.000995595,0.000995595
4,111.414,0.70035,0.81611,1,0.52127,0.000999014,0.000999014,0.000999014
5,136.674,0.61232,0.77058,0.99825,0.60691,0.000998248,0.000998248,0.000998248
6,163.157,0.5543,0.85989,1,0.38982,0.000997264,0.000997264,0.000997264
7,190.624,0.50307,0.84588,1,0.3768,0.000996061,0.000996061,0.000996061
8,217.171,0.40877,0.89667,1,0.31239,0.000994642,0.000994642,0.000994642
9,243.119,0.38994,0.8634,1,0.39631,0.000993005,0.000993005,0.000993005
10,267.702,0.35491,0.91419,1,0.30002,0.000991152,0.000991152,0.000991152
11,294.346,0.34435,0.91068,1,0.2246,0.000989085,0.000989085,0.000989085
12,321.441,0.33212,0.9317,1,0.22038,0.000986803,0.000986803,0.000986803
13,348.092,0.33859,0.90368,1,0.29199,0.000984307,0.000984307,0.000984307
14,372.072,0.29129,0.91944,1,0.28399,0.0009816,0.0009816,0.0009816
15,398.899,0.31135,0.90893,1,0.31454,0.000978681,0.000978681,0.000978681
16,426.238,0.35155,0.91769,0.99825,0.27754,0.000975553,0.000975553,0.000975553
17,451.533,0.28295,0.92469,1,0.24917,0.000972216,0.000972216,0.000972216
18,478.743,0.27799,0.90368,0.99825,0.28872,0.000968672,0.000968672,0.000968672
19,504.216,0.22918,0.9352,1,0.23401,0.000964923,0.000964923,0.000964923
20,529.91,0.23702,0.9387,1,0.18462,0.000960971,0.000960971,0.000960971
21,556.228,0.25228,0.92469,0.99825,0.27058,0.000956816,0.000956816,0.000956816
22,582.101,0.20702,0.9282,1,0.20349,0.000952461,0.000952461,0.000952461
23,607.765,0.23383,0.92294,0.99825,0.26533,0.000947908,0.000947908,0.000947908
24,635.474,0.22876,0.92644,1,0.22836,0.000943159,0.000943159,0.000943159
25,661.071,0.2261,0.94221,0.9965,0.20658,0.000938215,0.000938215,0.000938215
26,688.086,0.20993,0.93345,1,0.2073,0.00093308,0.00093308,0.00093308
27,714.511,0.23457,0.92995,0.99825,0.23327,0.000927754,0.000927754,0.000927754
28,739.866,0.18131,0.95447,1,0.20335,0.000922242,0.000922242,0.000922242
29,766.465,0.16269,0.94921,1,0.2057,0.000916544,0.000916544,0.000916544
30,792.096,0.19848,0.95447,1,0.21888,0.000910664,0.000910664,0.000910664
31,817.938,0.16985,0.94746,1,0.2173,0.000904604,0.000904604,0.000904604
32,845.134,0.19154,0.92995,1,0.22907,0.000898367,0.000898367,0.000898367
33,871.722,0.18972,0.95271,0.99825,0.20667,0.000891955,0.000891955,0.000891955
34,897.769,0.17667,0.95797,1,0.1741,0.000885371,0.000885371,0.000885371
35,924.461,0.14557,0.96322,1,0.16892,0.000878619,0.000878619,0.000878619
36,951.085,0.15574,0.95797,1,0.15808,0.000871701,0.000871701,0.000871701
37,976.808,0.15097,0.94921,1,0.22295,0.00086462,0.00086462,0.00086462
38,1003.6,0.13327,0.97023,0.99825,0.19562,0.000857379,0.000857379,0.000857379
39,1029.17,0.13637,0.96848,1,0.17072,0.000849982,0.000849982,0.000849982
40,1055.1,0.15428,0.95972,1,0.18491,0.000842431,0.000842431,0.000842431
41,1080.07,0.13134,0.95972,1,0.2036,0.000834731,0.000834731,0.000834731
42,1107.67,0.13153,0.96147,1,0.16604,0.000826884,0.000826884,0.000826884
43,1133.09,0.16075,0.94921,1,0.23663,0.000818893,0.000818893,0.000818893
44,1160.02,0.16671,0.94921,1,0.19877,0.000810763,0.000810763,0.000810763
45,1186.76,0.12678,0.95447,1,0.19156,0.000802497,0.000802497,0.000802497
46,1212.61,0.12634,0.96497,1,0.19238,0.000794099,0.000794099,0.000794099
47,1239.5,0.11938,0.96147,1,0.22444,0.000785571,0.000785571,0.000785571
48,1265.99,0.10401,0.97373,1,0.15971,0.000776919,0.000776919,0.000776919
49,1292.3,0.10715,0.95447,0.99825,0.21253,0.000768145,0.000768145,0.000768145
50,1318.46,0.09818,0.96497,0.9965,0.21224,0.000759254,0.000759254,0.000759254
51,1343.69,0.11651,0.94921,0.99825,0.23558,0.00075025,0.00075025,0.00075025
52,1370.73,0.12289,0.96497,0.99825,0.17887,0.000741136,0.000741136,0.000741136
53,1397.53,0.10435,0.96497,1,0.17059,0.000731916,0.000731916,0.000731916
54,1424.2,0.10793,0.95972,1,0.18846,0.000722595,0.000722595,0.000722595
55,1450.33,0.07576,0.97023,1,0.14724,0.000713177,0.000713177,0.000713177
56,1477.39,0.0901,0.96673,0.99825,0.20472,0.000703665,0.000703665,0.000703665
57,1503.05,0.08462,0.96147,0.99825,0.2458,0.000694064,0.000694064,0.000694064
58,1528.77,0.08401,0.96848,1,0.15638,0.000684378,0.000684378,0.000684378
59,1555.29,0.10704,0.96673,0.99825,0.21144,0.000674612,0.000674612,0.000674612
60,1581.33,0.11025,0.96322,1,0.20232,0.000664769,0.000664769,0.000664769
61,1608.21,0.08438,0.96673,0.99825,0.19131,0.000654854,0.000654854,0.000654854
62,1633.4,0.09226,0.97198,1,0.14229,0.000644871,0.000644871,0.000644871
63,1660.44,0.07956,0.96673,1,0.2243,0.000634825,0.000634825,0.000634825
64,1685.09,0.06985,0.97373,1,0.19212,0.000624721,0.000624721,0.000624721
65,1712.22,0.09419,0.97023,1,0.16156,0.000614561,0.000614561,0.000614561
66,1738.34,0.07671,0.96848,0.9965,0.22612,0.000604352,0.000604352,0.000604352
67,1763.87,0.08336,0.96848,0.99825,0.21309,0.000594097,0.000594097,0.000594097
68,1790.5,0.08491,0.97373,0.99825,0.17675,0.000583801,0.000583801,0.000583801
69,1817.58,0.08099,0.96848,0.99825,0.16672,0.000573468,0.000573468,0.000573468
70,1844.8,0.07223,0.97373,0.99825,0.18179,0.000563104,0.000563104,0.000563104
71,1870.78,0.07429,0.97373,0.99825,0.18813,0.000552712,0.000552712,0.000552712
72,1897.36,0.06433,0.96322,1,0.19156,0.000542297,0.000542297,0.000542297
73,1923,0.09196,0.98074,1,0.18361,0.000531864,0.000531864,0.000531864
74,1948.9,0.05544,0.97023,0.99825,0.17624,0.000521417,0.000521417,0.000521417
75,1975.46,0.06453,0.97198,1,0.18724,0.000510961,0.000510961,0.000510961
76,2000.91,0.06009,0.97198,1,0.20613,0.0005005,0.0005005,0.0005005
77,2027.52,0.0575,0.97373,0.99825,0.20742,0.000490039,0.000490039,0.000490039
78,2054.5,0.05889,0.97548,1,0.18009,0.000479583,0.000479583,0.000479583
79,2079.81,0.06661,0.97548,0.99825,0.20767,0.000469136,0.000469136,0.000469136
80,2106.84,0.05329,0.97373,0.99825,0.167,0.000458703,0.000458703,0.000458703
81,2132.46,0.0644,0.97198,0.99825,0.20754,0.000448288,0.000448288,0.000448288
82,2159.65,0.05875,0.97548,1,0.19145,0.000437896,0.000437896,0.000437896
83,2185.74,0.05795,0.97023,1,0.19635,0.000427532,0.000427532,0.000427532
84,2213.1,0.05,0.97373,1,0.20427,0.000417199,0.000417199,0.000417199
85,2239.97,0.03866,0.97548,1,0.18745,0.000406903,0.000406903,0.000406903
86,2265.66,0.04089,0.98074,1,0.17857,0.000396648,0.000396648,0.000396648
87,2292.16,0.05041,0.97548,1,0.17619,0.000386439,0.000386439,0.000386439
88,2318.42,0.04261,0.97373,0.99825,0.21718,0.000376279,0.000376279,0.000376279
89,2344.28,0.04235,0.97198,0.99825,0.21485,0.000366175,0.000366175,0.000366175
90,2370.37,0.03429,0.97023,1,0.2123,0.000356129,0.000356129,0.000356129
91,2397.28,0.04907,0.97198,1,0.20467,0.000346146,0.000346146,0.000346146
92,2422.85,0.03866,0.97373,0.99825,0.22159,0.000336231,0.000336231,0.000336231
93,2449.8,0.03438,0.97198,0.99825,0.2227,0.000326388,0.000326388,0.000326388
94,2477.24,0.03518,0.97373,1,0.19197,0.000316622,0.000316622,0.000316622
95,2501.84,0.03246,0.97198,1,0.20288,0.000306936,0.000306936,0.000306936
96,2528.74,0.02559,0.97198,1,0.20849,0.000297335,0.000297335,0.000297335
97,2555.61,0.03565,0.97548,1,0.21096,0.000287823,0.000287823,0.000287823
98,2580.75,0.03565,0.97023,0.99825,0.21786,0.000278405,0.000278405,0.000278405
